prec_id,Emanuel,DelValle,Braun,Chico,Watkins,Walls
C01001,123,53,3,82,2,1
C01002,149,49,0,34,0,1
C01003,98,31,1,33,0,0
C01004,125,35,3,47,1,0
C01005,133,40,5,23,0,0
C01006,128,51,2,52,1,0
C01007,145,30,4,64,1,1
C01008,162,44,11,25,4,1
C01009,106,48,3,63,2,2
C01010,152,33,2,55,1,1
C01011,126,48,4,52,0,1
C01012,191,46,1,47,1,2
C01013,136,85,3,86,0,1
C01014,135,43,12,35,6,0
C01015,71,71,5,32,1,0
C01016,47,31,8,17,1,1
C01017,97,25,2,22,0,0
C01018,80,94,3,46,2,1
C01019,91,55,0,57,2,2
C01020,139,86,4,72,0,0
C01021,112,27,1,40,0,1
C01022,92,53,2,38,0,1
C01023,109,42,1,41,0,0
C01024,144,96,2,78,4,0
C01025,114,30,6,28,2,0
C01026,101,31,4,43,0,0
C01027,62,42,2,50,0,3
C01028,77,16,4,23,2,1
C01029,144,56,3,51,2,0
C01030,144,84,6,93,3,2
C01031,168,23,5,46,0,0
C01032,92,79,2,44,0,1
C01033,122,49,0,67,3,0
C01034,81,57,3,32,0,1
C01035,128,24,0,36,0,0
C01036,147,52,1,43,1,1
C01037,89,33,3,32,0,0
C01038,64,38,0,41,0,0
C01039,129,44,2,86,0,0
C01040,61,20,0,25,0,0
C01041,127,40,1,61,0,1
C01042,107,24,0,58,0,0
C01043,91,48,7,48,0,0
C01044,104,46,4,36,1,0
C01045,122,47,6,45,0,2
C01046,142,50,0,59,0,1
C01047,143,22,2,23,1,1
C01048,93,54,5,28,2,0
C01049,88,16,1,24,0,0
C01050,72,22,3,40,0,0
C02001,375,55,17,121,3,3
C02002,51,7,14,8,5,2
C02003,177,15,29,53,10,2
C02004,125,2,40,14,7,5
C02005,136,10,38,27,10,2
C02006,286,28,4,85,1,1
C02007,194,8,43,26,6,6
C02008,285,33,18,65,4,4
C02009,141,14,31,28,12,4
C02010,121,1,25,14,7,3
C02011,282,35,12,95,8,0
C02012,263,28,2,91,5,0
C02013,162,16,40,35,8,2
C02014,187,22,43,34,12,5
C02015,73,7,22,13,5,0
C02016,244,32,6,79,2,1
C02017,95,4,20,20,20,2
C02018,225,17,14,87,0,0
C02019,300,24,7,122,4,3
C02020,252,20,69,35,10,1
C02021,204,20,54,16,9,2
C02022,312,35,29,74,3,0
C02023,87,9,35,26,7,2
C02024,101,7,17,60,3,2
C02025,228,22,37,72,4,2
C02026,193,27,28,46,7,2
C02027,117,4,22,15,12,6
C02028,121,23,16,65,1,1
C02029,115,4,18,21,4,0
C02030,223,35,8,91,0,0
C02031,139,19,45,26,1,4
C02032,75,14,13,42,2,1
C02033,92,2,23,9,7,0
C02034,124,1,50,22,7,4
C02035,71,6,1,12,0,0
C02036,332,27,28,80,5,1
C02037,192,21,10,39,1,0
C02038,315,28,17,108,5,0
C02039,146,29,13,44,5,2
C02040,377,40,53,106,3,9
C02041,62,2,32,8,9,1
C02042,105,2,43,12,3,2
C02043,247,20,17,74,4,1
C02044,94,5,48,16,7,6
C02045,132,13,45,35,15,5
C02046,186,15,75,34,10,10
C02047,78,3,35,16,8,1
C02048,79,3,19,9,8,1
C02049,214,29,13,37,2,0
C02050,83,19,9,56,8,1
C02051,119,5,22,10,7,3
C02052,173,16,34,22,14,5
C02053,179,27,8,28,1,0
C02054,238,40,4,57,2,1
C02055,105,18,4,20,1,0
C02056,122,10,40,26,14,1
C03001,120,6,48,22,8,5
C03002,191,9,58,29,5,3
C03003,179,15,27,46,7,2
C03004,91,8,43,19,0,3
C03005,98,12,63,12,9,3
C03006,26,1,3,7,0,0
C03007,174,6,83,19,4,8
C03008,136,4,42,26,2,3
C03009,141,15,47,21,13,2
C03010,57,4,14,5,3,1
C03011,128,14,55,24,11,4
C03012,111,5,46,16,7,1
C03013,25,15,4,120,0,0
C03014,59,2,83,6,6,1
C03015,135,11,85,16,12,3
C03016,111,15,48,13,8,0
C03017,68,2,44,10,1,2
C03018,50,5,24,12,6,0
C03019,15,7,1,32,0,0
C03020,100,6,37,18,8,3
C03021,57,2,19,12,3,1
C03022,80,3,34,4,2,0
C03023,131,8,50,16,8,3
C03024,173,12,59,45,6,4
C03025,102,3,16,21,4,5
C03026,34,1,17,2,2,0
C03027,124,9,42,16,7,3
C03028,326,44,15,98,0,0
C03029,135,5,36,10,7,3
C03030,87,15,32,21,5,6
C03031,185,7,61,31,14,10
C03032,118,17,31,20,3,4
C03033,133,12,64,37,15,7
C03034,105,8,47,24,7,4
C03035,128,16,48,16,15,3
C03036,34,2,23,4,3,0
C03037,57,3,22,10,7,1
C03038,209,8,97,20,7,3
C03039,220,8,68,11,10,5
C03040,121,14,48,23,11,13
C03041,103,7,63,15,3,4
C03042,108,6,33,14,5,4
C03043,22,1,12,0,1,1
C03044,40,1,8,4,1,1
C03045,217,24,39,45,3,3
C03046,20,0,17,8,4,0
C03047,67,5,30,17,3,6
C03048,111,5,41,7,4,4
C03049,36,7,12,4,1,0
C03050,76,2,34,17,6,4
C04001,189,78,52,52,6,5
C04002,208,16,63,34,7,8
C04003,167,19,71,31,10,6
C04004,189,8,56,23,8,11
C04005,217,25,97,27,9,10
C04006,55,4,38,11,1,4
C04007,201,17,69,33,6,11
C04008,210,12,58,29,12,2
C04009,339,22,88,34,14,12
C04010,167,15,57,27,7,7
C04011,131,7,41,15,6,3
C04012,87,8,37,21,4,10
C04013,130,35,30,20,2,3
C04014,104,4,26,17,9,8
C04015,153,20,39,31,8,4
C04016,169,14,75,28,13,2
C04017,203,21,43,23,9,5
C04018,138,18,50,28,4,16
C04019,160,12,62,18,9,3
C04020,123,7,52,16,9,3
C04021,192,49,50,46,11,3
C04022,220,49,36,37,5,13
C04023,125,26,27,26,2,5
C04024,175,21,39,27,6,7
C04025,174,8,77,29,5,7
C04026,158,17,74,30,7,8
C04027,141,10,41,21,7,2
C04028,112,21,21,20,4,1
C04029,194,15,18,26,4,2
C04030,131,14,38,33,3,6
C04031,102,81,8,11,0,1
C04032,200,45,30,29,1,1
C04033,152,22,42,28,11,4
C04034,132,55,14,17,3,2
C04035,89,8,32,15,3,12
C04036,122,10,34,23,3,3
C04037,3,0,1,0,1,0
C04038,232,38,75,44,8,4
C04039,108,6,36,20,10,10
C04040,145,5,71,21,4,6
C04041,67,43,6,18,1,3
C04042,181,16,63,37,9,10
C04043,97,31,23,12,3,3
C04044,100,13,30,12,3,2
C04045,307,29,80,32,8,7
C04046,92,13,42,21,10,6
C04047,188,67,53,34,7,5
C04048,252,41,41,37,8,2
C04049,123,8,50,15,4,5
C04050,151,11,51,35,9,3
C04051,167,12,48,25,8,7
C04052,164,8,78,20,16,9
C05001,149,18,60,38,12,5
C05002,117,5,38,23,6,7
C05003,74,16,13,14,2,4
C05004,97,5,51,15,5,1
C05005,121,9,47,13,5,5
C05006,145,7,72,36,13,5
C05007,145,19,69,24,10,2
C05008,240,51,10,25,2,1
C05009,130,5,48,37,10,4
C05010,118,10,36,16,5,5
C05011,142,29,21,25,3,4
C05012,104,6,23,18,7,4
C05013,120,16,63,16,11,8
C05014,206,50,49,28,9,8
C05015,145,27,34,14,2,0
C05016,104,10,32,20,7,3
C05017,150,7,42,19,3,4
C05018,156,13,37,16,6,7
C05019,66,5,21,8,7,6
C05020,68,3,10,15,4,2
C05021,161,11,49,6,11,4
C05022,160,16,59,19,9,5
C05023,90,3,36,14,11,3
C05024,174,15,29,21,1,2
C05025,142,7,51,19,12,1
C05026,173,5,55,22,16,8
C05027,197,51,15,40,7,0
C05028,174,4,57,21,7,6
C05029,138,14,45,25,6,9
C05030,152,34,17,27,4,0
C05031,143,10,43,21,7,4
C05032,250,20,78,38,13,9
C05033,116,6,52,4,4,2
C05034,192,10,55,19,7,4
C05035,130,20,22,15,5,3
C05036,71,1,22,9,8,1
C05037,118,27,17,29,6,1
C05038,197,41,25,23,6,2
C05039,230,53,14,34,2,0
C05040,150,3,32,14,10,2
C05041,174,37,4,28,0,0
C05042,169,9,55,17,10,3
C05043,146,13,68,20,6,4
C05044,161,14,40,29,12,9
C05045,71,3,39,4,3,4
C05046,164,31,19,29,3,1
C05047,113,9,36,11,9,1
C05048,106,24,28,21,3,2
C05049,30,2,16,8,0,1
C05050,116,1,31,12,4,4
C05051,82,5,36,18,7,1
C05052,4,1,0,0,0,0
C05053,183,29,31,26,10,3
C05054,208,20,77,39,6,14
C05055,161,6,26,22,1,3
C06001,176,13,86,34,7,6
C06002,148,11,71,30,11,5
C06003,188,7,66,16,13,5
C06004,99,1,58,12,4,7
C06005,74,2,27,6,6,0
C06006,135,11,55,21,5,5
C06007,150,4,49,23,9,0
C06008,201,8,92,24,10,10
C06009,147,11,60,20,16,5
C06010,235,9,91,25,6,8
C06011,156,13,61,22,7,6
C06012,114,6,42,11,8,5
C06013,148,2,54,7,6,4
C06014,145,10,52,25,9,4
C06015,103,3,33,12,9,4
C06016,187,9,71,25,19,5
C06017,165,13,86,33,6,10
C06018,85,1,27,15,13,3
C06019,163,13,68,27,16,6
C06020,148,9,46,17,11,2
C06021,159,6,66,23,15,2
C06022,145,6,52,25,7,3
C06023,141,4,41,17,4,4
C06024,132,6,57,19,12,6
C06025,122,2,35,11,7,2
C06026,171,12,63,25,9,5
C06027,184,8,67,33,15,8
C06028,238,9,121,57,10,8
C06029,184,11,83,32,10,9
C06030,132,3,41,18,11,7
C06031,183,7,69,33,11,6
C06032,137,5,62,20,3,6
C06033,182,10,61,33,11,11
C06034,124,5,50,19,8,2
C06035,135,5,68,18,9,6
C06036,79,6,35,16,5,3
C06037,174,18,75,24,21,9
C06038,144,12,74,19,8,1
C06039,109,7,49,19,8,0
C06040,69,4,26,18,7,2
C06041,148,9,85,32,18,3
C06042,80,2,36,8,3,3
C06043,160,13,72,17,10,7
C06044,159,10,58,18,9,9
C06045,104,10,58,22,9,2
C06046,129,8,64,16,7,7
C06047,160,8,70,25,6,8
C06048,143,5,37,9,6,8
C06049,150,7,67,22,12,6
C06050,182,11,59,12,14,5
C06051,96,0,54,13,8,2
C06052,94,8,21,15,6,1
C06053,135,7,62,22,5,3
C06054,143,7,56,12,5,15
C06055,132,2,53,21,1,2
C06056,27,3,23,6,2,1
C06057,93,5,29,6,4,1
C06058,161,15,79,19,8,8
C06059,160,4,43,27,2,10
C06060,87,5,37,12,13,7
C06061,74,4,27,15,8,0
C06062,137,4,48,18,7,5
C06063,112,5,51,24,6,5
C06064,170,9,70,40,7,5
C07001,253,13,89,44,14,4
C07002,159,12,51,19,8,2
C07003,90,7,42,12,7,0
C07004,99,13,36,26,6,3
C07005,99,18,26,26,4,1
C07006,111,6,54,9,9,3
C07007,113,9,22,11,7,3
C07008,36,5,16,18,2,1
C07009,120,8,57,17,10,6
C07010,105,3,27,20,5,0
C07011,144,14,53,23,8,10
C07012,112,11,21,24,7,2
C07013,101,2,35,16,3,2
C07014,140,15,58,19,9,5
C07015,72,5,26,9,17,1
C07016,81,1,27,13,12,1
C07017,71,1,33,4,5,2
C07018,84,10,26,27,7,1
C07019,183,10,79,27,16,2
C07020,46,0,17,14,1,3
C07021,123,9,38,30,10,9
C07022,89,9,25,21,7,7
C07023,151,8,42,19,7,3
C07024,117,1,57,24,8,4
C07025,156,9,76,34,9,5
C07026,175,9,56,27,8,4
C07027,214,11,70,21,20,9
C07028,129,6,63,20,10,6
C07029,123,6,53,18,8,1
C07030,147,8,62,28,4,5
C07031,135,4,43,25,7,4
C07032,93,11,17,31,4,1
C07033,114,18,33,18,1,5
C07034,115,8,31,27,5,3
C07035,155,17,71,28,10,7
C07036,135,4,47,26,4,2
C07037,67,2,20,8,2,1
C07038,87,6,35,11,8,4
C07039,121,2,42,16,9,4
C07040,166,6,65,29,3,8
C07041,126,9,31,19,3,5
C07042,194,11,57,27,9,8
C07043,154,11,45,21,11,5
C07044,216,9,93,31,10,7
C07045,200,18,80,31,11,8
C07046,79,5,30,17,2,3
C07047,123,4,33,20,10,2
C07048,128,5,30,16,7,4
C07049,71,4,26,8,2,3
C07050,97,9,43,10,6,4
C07051,196,15,91,32,12,7
C07052,104,7,36,18,5,2
C07053,107,4,41,16,7,0
C07054,50,4,18,12,1,3
C07055,124,4,39,21,10,0
C07056,129,7,37,13,7,4
C07057,94,1,51,18,6,5
C07058,172,9,60,28,8,6
C07059,70,3,12,25,5,2
C07060,85,3,25,15,3,4
C07061,113,11,50,11,2,2
C08001,161,9,62,26,6,6
C08002,63,4,28,14,3,5
C08003,177,7,91,33,10,5
C08004,145,10,52,26,2,3
C08005,147,12,101,26,5,5
C08006,150,9,63,22,14,5
C08007,126,5,47,22,5,2
C08008,165,9,78,20,6,6
C08009,177,9,77,22,13,10
C08010,209,23,69,30,7,10
C08011,136,11,55,17,13,12
C08012,125,6,56,18,10,4
C08013,116,3,49,24,7,0
C08014,71,9,28,10,6,3
C08015,107,7,48,10,10,5
C08016,139,8,68,32,8,7
C08017,136,8,44,28,15,6
C08018,94,4,32,7,5,5
C08019,168,13,75,23,8,4
C08020,102,5,50,12,9,2
C08021,127,9,52,12,7,4
C08022,130,3,45,17,10,0
C08023,113,6,48,16,10,10
C08024,143,10,50,38,4,12
C08025,133,3,48,24,13,6
C08026,118,5,29,6,3,7
C08027,168,9,70,30,8,2
C08028,139,9,32,26,4,4
C08029,120,11,70,25,12,0
C08030,128,7,53,22,6,9
C08031,113,8,36,5,4,0
C08032,216,9,56,32,18,2
C08033,124,6,52,23,5,4
C08034,178,10,69,34,8,7
C08035,186,9,59,23,3,11
C08036,134,8,37,16,5,8
C08037,156,7,58,26,12,5
C08038,134,5,52,24,5,4
C08039,158,5,44,24,4,3
C08040,112,2,48,11,5,4
C08041,116,3,35,18,9,6
C08042,154,13,64,27,5,4
C08043,111,4,36,6,7,8
C08044,103,7,49,29,3,7
C08045,123,2,31,14,7,4
C08046,115,7,45,22,9,3
C08047,147,7,70,24,11,2
C08048,122,9,55,22,3,0
C08049,169,11,73,29,11,5
C08050,157,9,46,26,8,10
C08051,180,17,70,25,5,4
C08052,149,6,64,17,6,11
C08053,159,6,66,30,8,11
C08054,136,7,67,24,11,5
C08055,122,4,42,11,12,1
C08056,148,5,42,25,11,3
C08057,137,11,44,7,7,5
C08058,140,6,64,19,17,7
C08059,82,4,27,14,3,3
C08060,116,13,46,17,8,4
C08061,107,7,46,25,7,5
C08062,127,13,60,22,3,9
C08063,154,17,53,24,7,3
C08064,138,8,46,15,5,8
C08065,77,7,36,18,8,2
C08066,206,10,67,27,12,5
C08067,95,3,36,20,6,4
C08068,86,5,31,8,8,2
C08069,75,6,40,7,5,5
C08070,180,6,56,27,6,4
C09001,147,5,71,37,13,10
C09002,156,3,49,18,7,3
C09003,58,2,12,5,5,0
C09004,119,0,66,23,12,7
C09005,156,5,73,26,10,6
C09006,140,1,77,25,8,10
C09007,134,3,30,19,3,5
C09008,162,2,48,28,8,3
C09009,178,7,81,32,7,11
C09010,119,9,59,19,5,4
C09011,101,2,45,16,10,2
C09012,133,4,41,18,8,7
C09013,168,5,64,24,5,4
C09014,204,8,76,31,11,4
C09015,117,3,42,12,5,8
C09016,95,2,43,9,12,5
C09017,128,1,43,21,7,2
C09018,155,9,49,21,13,1
C09019,146,5,54,25,10,1
C09020,133,8,64,29,12,8
C09021,134,5,51,10,13,4
C09022,159,10,71,32,7,5
C09023,90,5,52,16,4,1
C09024,52,1,28,8,7,2
C09025,101,26,11,49,4,3
C09026,90,0,23,13,6,1
C09027,146,3,51,13,4,1
C09028,60,8,20,30,2,1
C09029,98,5,57,20,6,7
C09030,138,13,62,31,6,1
C09031,103,3,50,23,6,5
C09032,148,5,40,20,9,3
C09033,118,3,30,12,6,3
C09034,116,2,46,13,13,4
C09035,162,8,68,27,10,4
C09036,143,4,86,24,14,6
C09037,117,22,13,55,5,2
C09038,151,5,35,15,11,7
C09039,170,5,60,32,10,5
C09040,166,10,56,19,8,7
C09041,142,6,73,20,5,5
C09042,53,6,14,7,1,1
C09043,75,2,31,13,10,1
C09044,77,5,30,6,6,6
C09045,123,2,48,14,9,2
C09046,120,3,44,14,5,4
C09047,168,12,48,26,12,5
C09048,148,12,74,23,11,10
C09049,108,3,16,11,4,2
C09050,144,7,63,14,10,7
C09051,62,3,42,23,13,2
C09052,148,12,63,25,7,2
C09053,71,1,38,8,4,2
C10001,121,11,16,55,2,1
C10002,90,12,2,100,0,0
C10003,93,9,1,163,0,0
C10004,58,18,16,87,5,1
C10005,112,14,6,94,4,1
C10006,129,4,46,24,6,3
C10007,25,6,4,20,0,4
C10008,79,16,1,130,1,2
C10009,79,9,2,169,0,0
C10010,82,19,2,171,0,0
C10011,65,32,6,185,0,0
C10012,96,19,0,111,2,0
C10013,75,16,1,139,1,3
C10014,68,18,4,190,1,1
C10015,43,9,0,57,1,1
C10016,86,16,2,157,1,1
C10017,76,24,3,132,2,1
C10018,42,12,12,72,0,1
C10019,112,33,3,160,3,0
C10020,73,17,3,129,0,0
C10021,92,12,5,135,1,1
C10022,72,8,13,56,0,1
C10023,52,15,0,114,0,0
C10024,103,11,0,131,1,2
C10025,87,31,25,100,4,4
C10026,63,25,2,107,1,0
C10027,113,26,0,189,0,0
C10028,120,4,24,27,6,7
C10029,112,2,31,35,8,1
C10030,59,20,2,167,1,1
C10031,64,31,1,163,0,0
C10032,77,26,5,143,2,0
C10033,53,31,4,162,1,0
C10034,63,22,0,143,1,2
C10035,65,22,3,127,2,1
C10036,85,10,19,147,2,0
C10037,63,9,8,53,1,2
C10038,103,19,1,165,0,1
C10039,77,19,6,129,1,0
C10040,69,13,10,91,4,0
C10041,87,17,2,220,1,0
C10042,91,19,3,149,2,1
C10043,45,23,8,41,1,1
C10044,66,34,2,118,0,0
C10045,47,11,2,88,0,1
C10046,89,30,1,143,1,1
C10047,73,26,1,141,0,0
C10048,96,10,17,32,3,3
C11001,153,22,4,135,0,1
C11002,82,27,4,127,0,2
C11003,75,26,3,82,2,0
C11004,101,38,2,100,0,1
C11005,67,23,4,54,0,0
C11006,85,58,1,139,0,1
C11007,97,25,4,97,2,1
C11008,84,32,2,109,1,0
C11009,80,11,2,74,1,2
C11010,43,24,0,72,0,1
C11011,185,30,3,160,2,0
C11012,103,9,1,159,1,0
C11013,87,16,2,113,1,0
C11014,100,23,2,82,1,0
C11015,60,15,0,136,2,0
C11016,136,37,4,108,0,1
C11017,117,56,0,139,4,0
C11018,78,31,4,84,1,0
C11019,86,44,2,75,1,0
C11020,83,15,1,96,2,0
C11021,90,8,4,126,0,1
C11022,112,18,3,75,0,1
C11023,93,15,1,72,0,1
C11024,200,11,2,199,1,0
C11025,124,17,1,94,2,0
C11026,115,35,1,153,0,2
C11027,124,30,4,104,3,1
C11028,74,12,2,84,1,0
C11029,106,31,3,132,0,2
C11030,64,36,3,124,0,0
C11031,82,9,0,104,0,0
C11032,78,9,2,108,0,1
C11033,91,5,0,63,0,0
C11034,76,8,15,59,3,2
C11035,112,30,4,203,0,1
C11036,44,5,1,16,1,0
C11037,119,12,1,181,1,1
C11038,157,20,1,159,0,0
C11039,169,16,1,178,0,0
C11040,79,13,0,64,1,0
C11041,74,9,0,63,0,0
C11042,85,6,2,95,0,0
C11043,121,16,0,137,0,2
C11044,124,31,1,85,1,0
C11045,53,3,3,69,0,1
C11046,74,4,5,65,0,2
C11047,101,19,4,82,0,4
C11048,39,5,0,63,0,0
C11049,67,11,1,142,0,0
C11050,62,17,1,53,0,0
C12001,27,40,4,65,1,2
C12002,54,23,4,97,3,0
C12003,56,34,3,91,0,1
C12004,33,24,1,86,1,1
C12005,32,21,0,91,2,0
C12006,32,35,7,55,0,0
C12007,70,80,1,98,1,0
C12008,100,49,5,181,2,1
C12009,35,19,2,122,0,1
C12010,60,27,0,115,0,0
C12011,71,38,3,151,1,0
C12012,32,32,4,120,1,0
C12013,106,39,4,150,1,2
C12014,65,26,3,113,1,1
C12015,49,32,0,90,1,0
C12016,44,31,3,109,1,1
C12017,90,33,25,86,5,3
C12018,75,43,7,82,3,1
C12019,72,51,2,138,2,5
C12020,40,33,1,91,2,1
C12021,73,24,2,109,0,0
C12022,38,37,1,56,0,0
C12023,72,21,2,114,1,3
C12024,77,44,1,117,1,0
C13001,116,18,1,132,0,2
C13002,67,22,5,86,0,2
