WARD,PRECINCT,JOINID,Emanuel_M15,Wilson_M15,Fioretti_M15,Garcia_M15,Walls_M15
10,1,C10001,108,42,3,80,7
10,2,C10002,139,9,57,113,2
10,3,C10003,144,9,38,110,3
10,4,C10004,70,17,9,90,5
10,5,C10005,118,10,34,89,2
10,6,C10006,96,4,29,109,1
10,7,C10007,76,7,8,103,3
10,8,C10008,52,25,1,47,4
10,9,C10009,140,10,54,131,1
10,10,C10010,117,3,34,182,1
10,11,C10011,102,4,24,208,2
10,12,C10012,81,3,20,90,1
10,13,C10013,114,14,11,153,4
10,14,C10014,139,4,26,254,0
10,15,C10015,184,126,24,112,31
10,16,C10016,91,3,29,80,2
10,17,C10017,195,12,61,158,3
10,18,C10018,48,16,1,76,2
10,19,C10019,117,8,41,165,7
10,20,C10020,165,11,23,134,5
10,21,C10021,103,8,24,179,3
10,22,C10022,43,3,6,102,0
10,23,C10023,91,4,16,165,0
10,24,C10024,153,13,54,125,4
10,25,C10025,24,8,4,40,3
10,26,C10026,60,10,8,98,0
10,27,C10027,66,42,7,112,5
10,28,C10028,113,7,26,213,0
10,29,C10029,87,9,19,127,3
10,30,C10030,76,4,11,153,2
10,31,C10031,64,4,11,133,2
10,32,C10032,115,3,20,143,1
10,33,C10033,62,5,21,115,3
10,34,C10034,67,8,4,77,2
10,35,C10035,135,4,56,204,1
10,36,C10036,31,13,2,31,1
11,1,C11001,158,7,49,101,5
11,2,C11002,13,8,3,4,4
11,3,C11003,47,4,10,135,1
11,4,C11004,109,7,40,124,2
11,5,C11005,92,16,35,129,2
11,6,C11006,125,4,30,89,1
11,7,C11007,76,19,19,66,3
11,8,C11008,107,8,35,95,4
11,9,C11009,101,4,50,94,2
11,10,C11010,135,4,48,88,1
11,11,C11011,129,9,48,107,5
11,12,C11012,262,6,114,181,4
11,13,C11013,239,9,81,147,2
11,14,C11014,92,9,33,39,3
11,15,C11015,80,4,14,26,2
11,16,C11016,103,7,39,69,3
11,17,C11017,119,6,47,110,6
11,18,C11018,157,2,40,64,2
11,19,C11019,147,12,39,139,0
11,20,C11020,129,2,39,62,0
11,21,C11021,244,15,64,142,2
11,22,C11022,185,7,67,121,7
11,23,C11023,127,3,25,45,0
11,24,C11024,261,7,87,102,1
11,25,C11025,142,2,35,112,3
11,26,C11026,208,14,51,129,1
11,27,C11027,44,3,12,40,2
11,28,C11028,100,4,22,49,2
11,29,C11029,194,13,61,117,3
11,30,C11030,91,1,13,37,0
11,31,C11031,175,6,49,99,2
11,32,C11032,105,1,52,31,0
11,33,C11033,114,8,22,66,0
11,34,C11034,71,6,16,30,1
11,35,C11035,79,8,18,23,2
11,36,C11036,59,4,24,46,3
11,37,C11037,65,2,7,20,4
11,38,C11038,27,2,2,62,0
12,1,C12001,84,3,19,175,2
12,2,C12002,56,2,8,116,2
12,3,C12003,67,5,20,207,3
12,4,C12004,73,2,10,156,1
12,5,C12005,79,9,23,114,3
12,6,C12006,61,9,11,142,3
12,7,C12007,34,3,2,154,0
12,8,C12008,89,9,12,137,3
12,9,C12009,58,4,13,122,1
12,10,C12010,39,3,4,148,5
12,11,C12011,51,2,9,154,1
12,12,C12012,58,3,11,118,1
12,13,C12013,49,2,13,152,3
12,14,C12014,29,4,1,142,1
12,15,C12015,56,15,6,132,4
12,16,C12016,33,1,0,140,2
12,17,C12017,52,4,10,164,1
12,18,C12018,41,1,10,132,0
12,19,C12019,59,2,9,146,1
12,20,C12020,57,4,9,161,1
12,21,C12021,58,3,16,153,2
12,22,C12022,32,3,4,126,0
12,23,C12023,69,3,21,144,1
13,1,C13001,137,2,24,71,1
13,2,C13002,150,5,31,72,2
13,3,C13003,54,2,6,70,1
13,4,C13004,152,7,43,88,2
13,5,C13005,134,1,14,120,3
13,6,C13006,154,3,39,79,0
13,7,C13007,113,1,6,68,0
13,8,C13008,99,1,28,74,0
13,9,C13009,101,2,13,79,1
13,10,C13010,131,4,36,88,1
13,11,C13011,161,5,28,103,0
13,12,C13012,81,7,8,92,1
13,13,C13013,109,2,17,102,0
13,14,C13014,96,3,18,87,4
13,15,C13015,163,1,23,153,3
13,16,C13016,80,1,8,66,2
13,17,C13017,107,7,32,79,0
13,18,C13018,104,5,23,71,1
13,19,C13019,103,9,3,111,0
13,20,C13020,82,4,29,49,1
13,21,C13021,168,7,65,74,4
13,22,C13022,146,5,41,70,2
13,23,C13023,79,3,12,69,2
13,24,C13024,112,11,15,69,3
13,25,C13025,130,0,21,86,2
13,26,C13026,170,5,18,69,1
13,27,C13027,116,7,22,66,3
13,28,C13028,71,3,16,89,2
13,29,C13029,78,2,12,92,0
13,30,C13030,79,0,8,69,0
13,31,C13031,130,5,46,88,2
13,32,C13032,140,4,30,75,0
13,33,C13033,117,7,30,80,1
13,34,C13034,142,4,18,112,0
13,35,C13035,93,1,14,102,1
13,36,C13036,66,1,3,61,0
13,37,C13037,155,18,10,93,6
13,38,C13038,112,6,33,91,0
13,39,C13039,90,3,10,126,0
13,40,C13040,104,8,9,69,0
13,41,C13041,123,1,12,92,3
13,42,C13042,137,7,56,84,0
13,43,C13043,155,2,14,102,2
13,44,C13044,279,9,11,64,0
13,45,C13045,181,9,22,63,4
13,46,C13046,105,2,10,126,1
13,47,C13047,107,3,11,100,3
13,48,C13048,126,5,23,64,2
14,1,C14001,151,5,67,122,3
14,2,C14002,131,3,12,166,2
14,3,C14003,65,0,6,127,1
14,4,C14004,115,4,34,85,3
14,5,C14005,85,5,3,182,1
14,6,C14006,37,1,5,67,1
14,7,C14007,64,4,14,137,0
14,8,C14008,69,6,11,122,1
14,9,C14009,132,7,40,112,4
14,10,C14010,51,1,9,90,3
14,11,C14011,65,1,2,64,1
14,12,C14012,100,6,19,90,1
14,13,C14013,88,0,12,87,1
14,14,C14014,74,3,11,99,1
14,15,C14015,76,2,8,110,0
14,16,C14016,70,5,3,96,0
14,17,C14017,99,0,4,119,0
14,18,C14018,33,2,7,43,1
14,19,C14019,69,5,6,102,1
14,20,C14020,40,3,12,82,0
14,21,C14021,49,5,6,149,1
14,22,C14022,82,6,36,100,5
14,23,C14023,97,6,24,84,2
14,24,C14024,137,11,52,136,0
14,25,C14025,31,1,5,99,0
14,26,C14026,25,2,7,88,0
14,27,C14027,85,4,8,93,3
14,28,C14028,47,3,10,80,1
14,29,C14029,71,2,9,92,0
14,30,C14030,30,2,3,44,0
14,31,C14031,25,2,3,84,0
15,1,C15001,48,1,3,177,0
15,2,C15002,49,51,6,24,10
15,3,C15003,62,55,7,31,6
15,4,C15004,56,1,9,153,1
15,5,C15005,39,7,1,140,0
15,6,C15006,61,3,11,146,2
15,7,C15007,72,64,8,32,12
15,8,C15008,63,1,4,149,1
15,9,C15009,57,3,9,199,4
15,10,C15010,55,8,24,157,0
15,11,C15011,54,4,12,162,0
15,12,C15012,76,1,10,170,1
15,13,C15013,41,3,1,136,0
15,14,C15014,38,1,3,105,0
15,15,C15015,41,5,7,108,0
15,16,C15016,66,12,2,134,1
15,17,C15017,71,52,4,58,9
15,18,C15018,71,49,7,28,8
15,19,C15019,64,23,5,116,9
15,20,C15020,63,57,3,35,8
15,21,C15021,74,40,2,34,10
15,22,C15022,54,73,9,27,14
15,23,C15023,88,34,4,40,11
15,24,C15024,40,51,5,33,14
16,1,C16001,40,2,5,136,1
16,2,C16002,85,50,16,45,3
16,3,C16003,75,55,4,28,6
16,4,C16004,69,48,11,37,7
16,5,C16005,61,45,7,23,11
16,6,C16006,62,60,9,48,9
16,7,C16007,53,44,7,53,9
16,8,C16008,53,26,8,19,11
16,9,C16009,101,54,6,36,13
16,10,C16010,84,59,6,27,9
16,11,C16011,57,31,5,63,4
16,12,C16012,43,39,9,26,12
16,13,C16013,50,15,7,71,2
16,14,C16014,62,48,5,29,9
16,15,C16015,105,50,3,27,10
16,16,C16016,78,69,7,28,9
16,17,C16017,49,33,0,54,10
16,18,C16018,84,37,7,59,8
16,19,C16019,72,41,2,43,9
16,20,C16020,65,49,7,26,8
16,21,C16021,57,52,5,26,6
16,22,C16022,55,41,6,41,2
16,23,C16023,40,15,7,83,2
16,24,C16024,61,28,4,24,14
16,25,C16025,106,64,4,34,14
16,26,C16026,71,57,6,37,7
16,27,C16027,62,53,5,28,12
16,28,C16028,84,63,3,45,16
16,29,C16029,85,40,2,37,9
16,30,C16030,71,60,5,30,9
16,31,C16031,83,94,3,39,7
16,32,C16032,33,21,4,93,2
16,33,C16033,102,65,4,42,8
16,34,C16034,80,64,12,24,8
16,35,C16035,44,23,2,65,9
16,36,C16036,69,46,8,26,6
17,1,C17001,60,34,10,102,9
17,2,C17002,88,45,4,43,20
17,3,C17003,86,62,4,47,17
17,4,C17004,130,67,5,57,13
17,5,C17005,86,55,12,51,5
17,6,C17006,59,44,8,50,10
17,7,C17007,55,23,2,48,8
17,8,C17008,69,63,6,50,14
17,9,C17009,83,72,19,44,11
17,10,C17010,102,50,13,64,19
17,11,C17011,76,55,6,41,14
17,12,C17012,76,37,4,82,4
17,13,C17013,85,59,7,27,13
17,14,C17014,84,31,3,87,2
17,15,C17015,97,68,7,44,13
17,16,C17016,52,30,9,58,7
17,17,C17017,66,47,10,54,11
17,18,C17018,103,77,10,56,23
17,19,C17019,49,45,7,27,8
17,20,C17020,124,75,19,67,16
17,21,C17021,155,74,13,69,24
17,22,C17022,90,54,13,45,12
17,23,C17023,63,48,3,34,7
17,24,C17024,132,91,7,51,12
17,25,C17025,62,44,1,36,9
17,26,C17026,118,81,9,54,22
17,27,C17027,96,58,6,41,11
17,28,C17028,88,45,1,47,18
17,29,C17029,120,70,7,27,16
17,30,C17030,54,25,13,75,7
17,31,C17031,59,42,5,36,3
17,32,C17032,75,60,6,24,10
17,33,C17033,51,58,4,34,7
17,34,C17034,73,51,5,38,10
17,35,C17035,83,59,8,46,14
17,36,C17036,96,68,17,65,12
17,37,C17037,74,54,5,42,11
17,38,C17038,87,85,9,62,16
17,39,C17039,97,66,4,58,9
17,40,C17040,80,71,10,51,16
17,41,C17041,116,70,12,58,19
18,1,C18001,71,29,6,57,17
18,2,C18002,75,16,13,93,4
18,3,C18003,87,20,25,99,7
18,4,C18004,90,67,13,83,23
18,5,C18005,88,61,2,27,6
18,6,C18006,91,12,28,81,5
18,7,C18007,104,62,17,65,17
18,8,C18008,113,61,16,68,22
18,9,C18009,120,46,13,71,30
18,10,C18010,136,60,26,114,19
18,11,C18011,75,20,22,71,8
18,12,C18012,105,64,12,50,15
18,13,C18013,109,63,17,78,23
18,14,C18014,110,45,20,69,10
18,15,C18015,98,23,17,115,7
18,16,C18016,90,46,12,90,23
18,17,C18017,75,45,22,85,14
18,18,C18018,119,65,20,55,15
18,19,C18019,132,53,12,65,15
18,20,C18020,111,51,4,56,13
18,21,C18021,120,45,27,114,32
18,22,C18022,136,76,13,89,30
18,23,C18023,66,35,13,64,14
18,24,C18024,91,7,11,92,4
18,25,C18025,77,9,32,99,1
18,26,C18026,121,74,21,103,24
18,27,C18027,76,47,14,46,7
18,28,C18028,93,15,30,99,5
18,29,C18029,93,38,8,82,3
18,30,C18030,105,4,20,94,4
18,31,C18031,71,45,13,106,18
18,32,C18032,127,55,11,57,22
18,33,C18033,72,69,5,49,15
18,34,C18034,155,76,27,109,12
18,35,C18035,153,51,10,94,23
18,36,C18036,101,24,23,74,9
18,37,C18037,103,43,20,102,24
18,38,C18038,112,50,10,68,22
18,39,C18039,58,31,4,55,16
18,40,C18040,109,23,20,131,9
18,41,C18041,122,54,19,81,22
18,42,C18042,75,38,11,63,11
18,43,C18043,58,7,18,99,1
18,44,C18044,87,11,29,106,2
18,45,C18045,57,22,15,114,7
18,46,C18046,83,9,30,128,4
18,47,C18047,58,44,7,42,8
18,48,C18048,77,53,9,41,10
18,49,C18049,59,38,5,50,9
18,50,C18050,80,41,8,45,8
19,1,C19001,162,6,48,98,2
19,2,C19002,201,44,34,142,12
19,3,C19003,93,11,41,92,3
19,4,C19004,137,11,95,127,3
19,5,C19005,174,28,24,140,9
19,6,C19006,97,8,75,154,1
19,7,C19007,148,11,37,117,3
19,8,C19008,120,10,61,145,1
19,9,C19009,128,4,42,79,2
19,10,C19010,179,25,27,136,12
19,11,C19011,120,15,58,121,4
19,12,C19012,88,6,84,95,0
19,13,C19013,131,60,28,102,32
19,14,C19014,167,22,34,109,10
19,15,C19015,145,8,99,164,7
19,16,C19016,146,5,69,103,0
19,17,C19017,116,7,45,122,1
19,18,C19018,121,13,34,135,3
19,19,C19019,168,29,43,149,7
19,20,C19020,105,18,27,97,9
19,21,C19021,147,25,68,107,3
19,22,C19022,143,27,43,132,2
19,23,C19023,166,11,40,106,3
19,24,C19024,112,7,36,99,0
19,25,C19025,135,28,36,98,10
19,26,C19026,175,23,37,90,3
19,27,C19027,124,32,19,123,12
19,28,C19028,139,65,24,102,16
19,29,C19029,93,8,58,125,6
19,30,C19030,103,4,54,96,0
19,31,C19031,124,9,45,111,5
19,32,C19032,125,7,52,108,1
19,33,C19033,113,9,70,126,3
19,34,C19034,162,8,35,114,5
19,35,C19035,136,15,24,101,5
19,36,C19036,152,38,31,97,26
19,37,C19037,116,25,29,118,9
19,38,C19038,119,23,24,100,16
19,39,C19039,34,17,4,22,3
19,40,C19040,142,18,39,120,7
19,41,C19041,105,6,58,121,0
19,42,C19042,98,29,17,102,10
19,43,C19043,182,69,16,91,18
19,44,C19044,143,6,77,119,1
19,45,C19045,141,4,57,130,3
19,46,C19046,182,10,45,111,1
19,47,C19047,171,47,53,171,16
19,48,C19048,131,69,14,80,17
19,49,C19049,167,47,20,146,21
19,50,C19050,78,9,37,119,3
19,51,C19051,187,12,41,132,2
19,52,C19052,107,9,67,140,1
19,53,C19053,132,12,43,116,7
19,54,C19054,88,6,56,95,2
19,55,C19055,101,7,62,107,2
19,56,C19056,183,29,46,95,13
19,57,C19057,111,28,21,112,10
20,1,C20001,74,37,4,57,10
20,2,C20002,52,28,2,13,11
20,3,C20003,82,33,6,47,6
20,4,C20004,34,27,6,18,6
20,5,C20005,73,67,13,60,11
20,6,C20006,43,24,2,22,5
20,7,C20007,69,43,11,42,11
20,8,C20008,112,60,8,43,11
20,9,C20009,119,56,9,77,17
20,10,C20010,72,39,5,35,12
20,11,C20011,98,61,13,65,17
20,12,C20012,50,34,6,27,5
20,13,C20013,109,77,4,48,10
20,14,C20014,86,42,2,30,9
20,15,C20015,26,5,3,107,5
20,16,C20016,102,51,12,85,9
20,17,C20017,59,25,5,38,6
20,18,C20018,78,47,6,26,14
20,19,C20019,95,62,5,44,18
20,20,C20020,28,16,4,78,0
20,21,C20021,63,46,5,40,9
20,22,C20022,124,49,14,84,22
20,23,C20023,100,70,7,56,16
20,24,C20024,85,37,9,71,12
20,25,C20025,66,62,7,40,16
20,26,C20026,94,41,12,75,15
20,27,C20027,54,51,4,25,9
20,28,C20028,64,51,6,38,8
20,29,C20029,125,98,5,47,19
20,30,C20030,55,25,3,20,9
20,31,C20031,99,65,6,42,9
20,32,C20032,108,64,1,41,10
20,33,C20033,63,28,3,38,4
20,34,C20034,77,49,12,125,9
20,35,C20035,56,39,5,32,8
20,36,C20036,34,29,2,13,2
20,37,C20037,31,18,0,20,11
20,38,C20038,41,23,2,18,5
20,39,C20039,8,14,2,11,2
21,1,C21001,135,49,15,73,19
21,2,C21002,84,52,6,35,6
21,3,C21003,111,75,8,52,17
21,4,C21004,84,68,12,58,19
21,5,C21005,133,72,18,59,22
21,6,C21006,89,63,5,52,20
21,7,C21007,139,69,13,62,15
21,8,C21008,114,73,7,51,15
21,9,C21009,128,72,19,70,25
21,10,C21010,109,70,8,45,17
21,11,C21011,126,64,4,44,17
21,12,C21012,96,67,7,62,13
21,13,C21013,83,48,10,46,15
21,14,C21014,133,85,16,68,18
21,15,C21015,89,41,11,49,16
21,16,C21016,100,60,10,52,13
21,17,C21017,83,46,19,54,14
21,18,C21018,121,61,14,51,25
21,19,C21019,116,67,9,59,19
21,20,C21020,107,44,11,59,19
21,21,C21021,82,66,6,50,10
21,22,C21022,107,66,8,55,21
21,23,C21023,83,76,10,66,13
21,24,C21024,118,65,7,54,10
21,25,C21025,95,62,10,68,23
21,26,C21026,99,53,13,48,10
21,27,C21027,111,55,13,73,15
21,28,C21028,126,91,7,62,23
21,29,C21029,98,61,12,73,22
21,30,C21030,89,42,7,38,15
21,31,C21031,89,45,9,36,15
21,32,C21032,88,66,13,52,22
21,33,C21033,108,65,10,42,12
21,34,C21034,96,54,9,49,27
21,35,C21035,129,57,8,63,17
21,36,C21036,127,62,10,61,19
21,37,C21037,100,58,9,41,21
21,38,C21038,88,44,9,48,11
21,39,C21039,90,39,3,38,18
21,40,C21040,97,40,10,46,17
21,41,C21041,116,61,9,63,25
21,42,C21042,119,60,13,74,23
21,43,C21043,110,61,11,56,18
21,44,C21044,113,50,12,63,17
21,45,C21045,103,68,7,59,16
21,46,C21046,115,54,11,73,19
21,47,C21047,91,60,8,42,18
21,48,C21048,111,67,12,51,11
21,49,C21049,113,66,16,73,13
21,50,C21050,99,45,6,55,16
21,51,C21051,126,80,6,51,20
21,52,C21052,123,60,8,53,20
21,53,C21053,70,43,6,59,17
21,54,C21054,89,61,3,37,18
22,1,C22001,74,40,3,30,9
22,2,C22002,94,7,30,138,2
22,3,C22003,36,0,6,225,1
22,4,C22004,24,0,3,153,1
22,5,C22005,33,1,5,178,0
22,6,C22006,33,4,3,206,0
22,7,C22007,21,1,3,121,1
22,8,C22008,116,8,21,124,3
22,9,C22009,17,1,3,160,1
22,10,C22010,38,6,5,243,1
22,11,C22011,22,2,3,158,1
22,12,C22012,78,13,11,126,3
22,13,C22013,30,2,6,176,0
22,14,C22014,45,14,4,118,3
22,15,C22015,25,0,6,128,0
22,16,C22016,23,1,2,159,0
22,17,C22017,22,2,4,192,0
22,18,C22018,30,1,1,149,1
22,19,C22019,26,29,2,32,2
22,20,C22020,33,1,2,148,0
22,21,C22021,100,49,4,108,12
22,22,C22022,27,2,2,150,2
22,23,C22023,130,92,2,66,22
22,24,C22024,26,1,2,233,0
22,25,C22025,24,2,4,190,3
23,1,C23001,164,7,70,106,4
23,2,C23002,119,4,43,102,1
23,3,C23003,174,10,61,73,1
23,4,C23004,168,5,57,116,0
23,5,C23005,73,5,15,103,0
23,6,C23006,122,4,22,123,0
23,7,C23007,52,0,15,104,1
23,8,C23008,132,13,37,126,3
23,9,C23009,61,4,6,112,0
23,10,C23010,94,4,25,123,5
23,11,C23011,59,2,14,150,0
23,12,C23012,141,11,67,111,5
23,13,C23013,45,5,6,105,0
23,14,C23014,129,11,50,87,1
23,15,C23015,58,11,9,88,1
23,16,C23016,148,3,64,89,1
23,17,C23017,27,12,5,84,2
23,18,C23018,97,2,57,92,2
23,19,C23019,39,9,7,120,1
23,20,C23020,38,2,8,83,0
23,21,C23021,152,10,74,103,0
23,22,C23022,133,5,39,96,2
23,23,C23023,129,8,48,89,2
23,24,C23024,57,10,7,105,0
23,25,C23025,70,5,25,106,0
23,26,C23026,117,6,22,127,2
23,27,C23027,155,4,68,95,1
23,28,C23028,129,9,57,110,1
23,29,C23029,117,3,36,90,1
23,30,C23030,66,5,17,149,0
23,31,C23031,41,5,12,123,1
23,32,C23032,68,6,16,142,1
23,33,C23033,34,7,11,140,0
23,34,C23034,53,4,9,123,3
23,35,C23035,93,2,45,85,3
23,36,C23036,188,2,65,89,1
23,37,C23037,143,9,56,96,2
23,38,C23038,124,7,52,82,1
23,39,C23039,59,1,11,118,3
24,1,C24001,76,73,6,42,7
24,2,C24002,63,73,2,43,15
24,3,C24003,71,46,14,46,10
24,4,C24004,64,62,6,20,8
24,5,C24005,39,36,13,38,7
24,6,C24006,69,69,7,46,15
24,7,C24007,28,6,5,62,1
24,8,C24008,51,38,11,38,6
24,9,C24009,73,46,7,48,7
24,10,C24010,26,28,4,27,8
24,11,C24011,74,64,12,53,9
24,12,C24012,56,39,9,20,2
24,13,C24013,52,39,5,26,6
24,14,C24014,62,68,6,40,9
24,15,C24015,48,35,5,31,7
24,16,C24016,52,17,4,116,3
24,17,C24017,50,57,5,29,12
24,18,C24018,83,82,10,40,18
24,19,C24019,83,70,6,54,8
24,20,C24020,73,65,6,32,7
24,21,C24021,34,39,9,33,7
24,22,C24022,107,84,10,38,15
24,23,C24023,70,44,13,44,7
24,24,C24024,85,86,11,45,13
24,25,C24025,60,68,11,36,13
24,26,C24026,125,81,23,57,19
24,27,C24027,88,59,19,38,7
24,28,C24028,52,54,4,37,16
24,29,C24029,66,40,4,38,12
24,30,C24030,40,35,1,30,4
24,31,C24031,85,50,5,55,11
24,32,C24032,50,35,4,27,7
24,33,C24033,49,30,3,21,4
24,34,C24034,50,85,4,28,10
24,35,C24035,82,68,12,34,17
24,36,C24036,96,68,14,63,11
24,37,C24037,35,32,2,34,6
24,38,C24038,52,60,12,53,7
24,39,C24039,104,58,7,76,8
24,40,C24040,64,69,7,34,11
24,41,C24041,66,51,6,29,11
25,1,C25001,73,2,10,151,1
25,2,C25002,53,6,9,183,1
25,3,C25003,105,3,37,58,3
25,4,C25004,72,40,24,56,7
25,5,C25005,60,2,21,163,1
25,6,C25006,57,6,7,30,2
25,7,C25007,47,3,7,209,1
25,8,C25008,46,5,11,206,1
25,9,C25009,52,3,10,215,1
25,10,C25010,128,2,22,33,1
25,11,C25011,62,4,7,209,3
25,12,C25012,56,2,4,187,0
25,13,C25013,52,0,1,224,0
25,14,C25014,128,6,8,33,5
25,15,C25015,90,2,6,167,1
25,16,C25016,112,2,26,37,1
25,17,C25017,85,18,13,186,2
25,18,C25018,205,17,10,59,2
25,19,C25019,59,3,6,208,0
25,20,C25020,72,53,39,23,5
25,21,C25021,143,9,43,62,2
25,22,C25022,49,1,3,205,2
25,23,C25023,63,3,10,225,1
25,24,C25024,38,1,11,212,2
25,25,C25025,128,6,32,91,1
25,26,C25026,53,6,6,205,1
25,27,C25027,91,2,36,53,2
25,28,C25028,47,2,5,217,3
25,29,C25029,110,44,40,49,9
25,30,C25030,52,2,3,185,2
25,31,C25031,129,2,21,33,1
25,32,C25032,69,6,9,157,1
26,1,C26001,57,3,6,100,1
26,2,C26002,46,25,7,92,2
26,3,C26003,62,4,12,90,0
26,4,C26004,62,16,0,60,4
26,5,C26005,46,7,3,88,3
26,6,C26006,58,6,10,93,0
26,7,C26007,30,4,4,82,1
26,8,C26008,21,1,4,56,0
26,9,C26009,55,5,9,91,2
26,10,C26010,34,9,8,97,2
26,11,C26011,57,8,5,101,1
26,12,C26012,59,12,6,89,1
26,13,C26013,51,2,2,54,1
26,14,C26014,20,0,5,81,0
26,15,C26015,28,7,1,42,4
26,16,C26016,35,5,4,51,2
26,17,C26017,63,7,24,61,2
26,18,C26018,55,7,5,83,1
26,19,C26019,32,14,5,48,1
26,20,C26020,73,12,6,80,1
26,21,C26021,60,23,12,108,8
26,22,C26022,43,2,3,58,2
26,23,C26023,41,4,3,59,1
26,24,C26024,65,2,10,83,1
26,25,C26025,45,8,12,95,1
26,26,C26026,22,5,5,59,3
26,27,C26027,77,12,13,80,3
26,28,C26028,103,4,19,91,2
26,29,C26029,28,3,2,53,4
26,30,C26030,40,5,5,77,4
26,31,C26031,41,6,2,46,2
26,32,C26032,62,9,25,63,3
26,33,C26033,59,12,8,86,2
26,34,C26034,71,9,10,102,2
26,35,C26035,63,11,8,104,1
26,36,C26036,44,6,12,86,0
26,37,C26037,46,2,6,95,0
26,38,C26038,43,13,2,43,1
26,39,C26039,52,1,10,101,5
26,40,C26040,35,4,3,31,2
26,41,C26041,73,23,12,103,3
26,42,C26042,39,3,10,87,1
26,43,C26043,38,1,2,51,0
26,44,C26044,33,9,3,48,3
26,45,C26045,27,9,0,28,0
26,46,C26046,37,3,12,45,1
26,47,C26047,30,7,5,78,1
26,48,C26048,43,4,8,101,0
26,49,C26049,27,5,0,65,2
27,1,C27001,96,5,13,37,1
27,2,C27002,139,41,24,55,2
27,3,C27003,40,37,7,25,6
27,4,C27004,36,25,19,32,2
27,5,C27005,69,39,8,37,7
27,6,C27006,95,25,12,29,6
27,7,C27007,87,8,17,117,0
27,8,C27008,72,47,8,32,6
27,9,C27009,57,9,4,22,4
27,10,C27010,133,62,28,37,7
27,11,C27011,94,7,5,37,2
27,12,C27012,83,4,6,22,1
27,13,C27013,169,61,11,75,13
27,14,C27014,33,35,21,13,5
27,15,C27015,62,49,1,20,3
27,16,C27016,91,6,13,47,1
27,17,C27017,78,38,32,51,9
27,18,C27018,74,43,27,26,7
27,19,C27019,64,46,7,26,1
27,20,C27020,67,34,8,25,7
27,21,C27021,118,6,9,26,2
27,22,C27022,52,41,1,30,6
27,23,C27023,89,57,5,22,4
27,24,C27024,50,32,4,52,9
27,25,C27025,58,43,28,46,2
